rozmiar,operacja,kopiec_avg,tablica_avg
5000,insert,95,36
5000,extract_max,421,23790
5000,find_max,53,19473
5000,modify_key,2105,2112
5000,return_size,51,34
8000,insert,106,35
8000,extract_max,450,41093
8000,find_max,62,30392
8000,modify_key,2395,1953
8000,return_size,58,46
10000,insert,97,50
10000,extract_max,453,45059
10000,find_max,61,37162
10000,modify_key,2408,2220
10000,return_size,50,47
16000,insert,115,43
16000,extract_max,464,75479
16000,find_max,73,65276
16000,modify_key,2585,2280
16000,return_size,54,50
20000,insert,131,50
20000,extract_max,528,92382
20000,find_max,75,81376
20000,modify_key,2203,2103
20000,return_size,73,65
40000,insert,217,47
40000,extract_max,716,185628
40000,find_max,110,150647
40000,modify_key,2519,2010
40000,return_size,98,74
60000,insert,204,37
60000,extract_max,880,286463
60000,find_max,143,223830
60000,modify_key,2611,2039
60000,return_size,100,100
100000,insert,260,47
100000,extract_max,1376,516236
100000,find_max,235,401828
100000,modify_key,3149,2674
100000,return_size,121,83
